Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9]
Belgian Shepherd Dog (Malinois),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd Dog (Tervuren),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Bergamasco Shepherd,Italy,Group 01 Section 01 #194,Herding Group,Group 05 (Working Dogs),,Pastoral,Working,Herding Dog
Berger Blanc Suisse,Switzerland,Group 01 Section 01 #347,,Group 05 (Working Dogs),,Pastoral,Working,
Berger Picard,France,Group 01 Section 01 #176,Herding Group,,Group 07 - Herding Dogs,Pastoral,,Herding Dog
Bernese Mountain Dog,Switzerland,Group 02 Section 03 #045,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Bichon Frisé,Spain,Group 09 Section 01 #215,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Toy,Toy,Companion Dog
Billy,France,Group 06 Section 01 #025,,,,,,Scenthound
Black and Tan Coonhound,United States,Group 06 Section 01 #300,Hound Group,,Group 02 - Hounds,Hound,Hound,Scenthound
Black and Tan Virginia Foxhound,United States,,,,,,,
Black Norwegian Elkhound,Norway,Group 05 Section 02 #268,,,,,,
Black Russian Terrier,Russia,Group 02 Section 01 #327,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog
Black Mouth Cur,United States,,,,,,,Scenthound
Bloodhound,"Belgium, France",Group 06 Section 01 #084,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Blue Heeler,Australia,See Australian Cattle Dog,,,,,,
Blue Lacy,United States,,,,,,,
Blue Paul Terrier,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Blue Picardy Spaniel,France,Group 07 Section 01 #106,,,Group 01 - Sporting Dogs,,,Gun Dog
Bluetick Coonhound,United States,,Hound Group,Group 04 (Hounds),,,Hound,Scenthound
Boerboel,South Africa,,Working Group,,,,,Guardian Dog
Bohemian Shepherd,Czech Republic,,FSS,,,,,
Bolognese,Italy,Group 09 Section 01 #196,FSS,,,Toy,Toy,Companion Dog
Border Collie,"United Kingdom (Scotland, England, Wales)",Group 01 Section 01 #297,Herding Group,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",Pastoral,Working,Herding Dog
Border Terrier,"United Kingdom (Scotland, England)",Group 03 Section 01 #010,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Borzoi,Russia,Group 10 Section 01 #193,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,Group 06 Section 01 #155,,,,,,Scenthound
Boston Terrier,United States,Group 09 Section 11 #140,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Bouvier des Ardennes,Belgium,Group 01 Section 02 #171,,,,,,Herding Dog
Bouvier des Flandres,Belgium,Group 01 Section 02 #191,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Working,Working,Herding Dog
Boxer,Germany,Group 02 Section 02 #144,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Boykin Spaniel,United States,,Sporting Group,,,,,Gun Dog
Bracco Italiano,Italy,Group 07 Section 01 #202,FSS,Group 03 (Gundogs),,Gundog,Gundog,Gun Dog
Braque d'Auvergne,France,Group 07 Section 01 #180,,,"Group 01 - Sporting Dogs, listed",Gundog,,Gun Dog
Braque de l'Ariege,France,Group 07 Section 01 #177,,,,,,Gun Dog
Braque du Bourbonnais,France,Group 07 Section 01 #179,FSS,,,,,Gun Dog
Braque du Puy,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Braque Francais,France,"Group 07 Section 01 #133 (Gascogne), #134 (Pyrenees)",FSS (Pyrenean),,Group 01 - Sporting Dogs,,,"Gun Dog (Grande Taille, Petite Taille)"
Braque Saint-Germain,France,Group 07 Section 01 #115,,,,,,Gun Dog
Brazilian Dogo,Brazil,,,,,,,
Brazilian Terrier,Brazil,Group 03 Section 01 #341,,,,,,
Briard,France,Group 01 Section 01 #113,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Briquet Griffon Vendéen,France,Group 06 Section 01 #019,,,,,,Scenthound
Brittany,France,Group 07 Section 01 #095,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Broholmer,Denmark,Group 02 Section 02 #315,FSS,,,,,Guardian Dog
Bruno Jura Hound,"Switzerland, France",,,,,,,
Brussels Griffon,Belgium,"Group 09 Section 03 #080, 081, 082",Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Bucovina Shepherd Dog,Romania,Group 02 Section 02 #357 Provisional,,,,,,
Bull and Terrier,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Bull Terrier,United Kingdom (England),Group 03 Section 03 #011,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Bulldog,United Kingdom (England),Group 02 Section 02 #149,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Bullenbeisser,Germany,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Bullmastiff,United Kingdom (England),Group 02 Section 02 #157,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Bully Kutta,"Pakistan, India",,,,,,,
Burgos Pointer,Spain,Group 07 Section 01 #090,,,,,,Gun Dog
Cairn Terrier,United Kingdom (Scotland),Group 03 Section 02 #004,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Canaan Dog,Middle East (Lebanon - Israel),Group 05 Section 06 #273,Herding Group,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Sighthound and Pariah
Canadian Eskimo Dog,Canada,Group 05 Section 01 #211,,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed
Cane Corso,Italy,Group 02 Section 02 #343,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",,Utility,Guardian Dog
Cantabrian Water Dog,Spain,,,,,,,
Cão da Serra de Aires,Portugal,Group 01 Section 01 #093,FSS,,"Group 07 - Herding Dogs, listed",,,Herding Dog
Cão de Castro Laboreiro,Portugal,Group 02 Section 02 #170,,,,,,Guardian Dog
Cão de Gado Transmontano,Portugal,,,,,,,
Cão Fila de São Miguel,Portugal,Group 02 Section 02 #340,,,,,,
Carolina Dog,United States,,FSS,,,,,Sighthound and Pariah
Carpathian Shepherd Dog,Romania,Group 01 Section 01 #350,,,,,,Herding Dog
Catalan Sheepdog,Spain,Group 01 Section 01 #087,,,,Pastoral,,Herding Dog
Caucasian Shepherd Dog,"Georgia, Armenia, Azerbaijan",Group 02 Section 02 #328,FSS,,,,,Guardian Dog
Cavalier King Charles Spaniel,United Kingdom (England),Group 09 Section 07 #136,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Central Asian Shepherd Dog,Russia,Group 02 Section 02 #335,FSS,Group 06 (Utility),,,Utility,Guardian Dog
Cesky Fousek,Czech Republic,Group 07 Section 01 #245,,,,,Gundog,Gun Dog
Cesky Terrier,Czech Republic,Group 03 Section 02 #246,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Chesapeake Bay Retriever,United States,Group 08 Section 01 #263,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Chien Français Blanc et Noir,France,Group 06 Section 01 #220,,,,,,Scenthound
Chien Français Blanc et Orange,France,Group 06 Section 01 #316,,,,,,Scenthound
Chien Français Tricolore,France,Group 06 Section 01 #219,,,,,,Scenthound
Chien-gris,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Chihuahua,Mexico,Group 09 Section 06 #218,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Chilean Terrier,Chile,,,,,,,
Chinese Chongqing Dog,China,,,,,,,
Chinese Crested Dog,China,Group 09 Section 04 #288,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Chinese Imperial Dog,China,,,,,,,
Chinook,United States,,Working Group,,,,,Northern Breed
Chippiparai,India,,,,,,,
Chiribaya Dog,Peru,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Chow Chow,China,Group 05 Section 05 #205,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed
Cierny Sery,Slovakia,,,,,,,
Cirneco dell'Etna,Italy,Group 05 Section 07 #199,Hound Group,,,Hound,,Sighthound and Pariah
Clumber Spaniel,United Kingdom (England),Group 08 Section 02 #109,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
"Collie, Rough",United Kingdom (Scotland),Group 01 Section 01 #156,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
"Collie, Smooth",United Kingdom (Scotland),Group 01 Section 01 #296,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Combai,India,,,,,,,
Cordoba Fighting Dog,Argentina,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Coton de Tulear,Madagascar,Group 09 Section 01 #283,Non-Sporting Group,Group 01 (Toys),"Group 05 - Toys, listed",Toy,Toy,Companion Dog
Cretan Hound,Greece,,,,,,,
Croatian Sheepdog,Croatia,Group 01 Section 01 #277,FSS,,,,,Herding Dog
Cumberland Sheepdog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Curly-Coated Retriever,United Kingdom (England),Group 08 Section 01 #110,Sporting Group,,Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Cursinu,Corsica (France),,,,,,,
Czechoslovakian Wolfdog,"Czech Republic, Slovakia",Group 01 Section 01 #332,FSS,,,,,Herding Dog
Dachshund,Germany,Group 04 Section 01 #148,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Dalbo dog,Sweden,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Dalmatian,Croatia,Group 06 Section 03 #153,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Dandie Dinmont Terrier,United Kingdom (Scotland),Group 03 Section 02 #168,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Danish-Swedish Farmdog,"Denmark, Sweden",Group 02 Section 01 #356 Provisional,FSS,,,,,Terrier
Deutsche Bracke,Germany,Group 06 Section 01 #299,,,,,,Scenthound
Doberman Pinscher,Germany,Group 02 Section 01 #143,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Dogo Argentino,Argentina,Group 02 Section 02 #292,Miscellaneous,,,,,Guardian Dog
Dogo Cubano,Cuba,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Dogue de Bordeaux,France,Group 02 Section 02 #116,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog
Drentse Patrijshond,Netherlands,Group 07 Section 01 #224,FSS,,,,,Gun Dog
Drever,Sweden,Group 06 Section 01 #130,FSS,,Group 02 - Hounds,,,Scenthound
Dunker,Norway,Group 06 Section 01 #203,,,,,,Scenthound
Dutch Shepherd,Netherlands,Group 01 Section 01 #223,Miscellaneous,Group 05 (Working Dogs),,,Working,Herding Dog
Dutch Smoushond,Netherlands,Group 02 Section 01 #308,,,,,,Terrier
East Siberian Laika,Russia,Group 05 Section 02 #305,,,,,,Northern Breed
East European Shepherd,Russia,,,,,,,
Elo,Germany,,,,,,,
English Cocker Spaniel,United Kingdom (England),Group 08 Section 02 #005,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
English Foxhound,United Kingdom (England),Group 06 Section 01 #159,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
English Mastiff,United Kingdom (England),Group 02 Section 02 #264,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
English Pointer,United Kingdom (England),Group 07 Section 02 #001,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
English Setter,United Kingdom (England),Group 07 Section 02 #002,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
English Shepherd,United Kingdom (England),,,,,,,Herding Dog
English Springer Spaniel,United Kingdom (England),Group 08 Section 02 #125,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
English Toy Terrier (Black & Tan),United Kingdom (England),Group 03 Section 04 #013,,Group 01 (Toys),,Toy,Toy,
English Water Spaniel,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
English White Terrier,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Entlebucher Mountain Dog,Switzerland,Group 02 Section 03 #047,Herding Group,,Group 03 - Working Dogs,Working,,Guardian Dog
Estonian Hound,Estonia,,,,,,,
Estrela Mountain Dog,Portugal,Group 02 Section 02 #173,FSS,Group 06 (Utility),,Pastoral,Utility,Guardian Dog
Eurasier,Germany,Group 05 Section 05 #291,FSS,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Northern Breed
Eurohound,Scandinavia,,,,,,,
Field Spaniel,United Kingdom (England),Group 08 Section 02 #123,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Fila Brasileiro,Brazil,Group 02 Section 02 #225,,,,,,
Finnish Hound,Finland,Group 06 Section 01 #051,,,,,,Scenthound
Finnish Lapphund,Finland,Group 05 Section 03 #189,Herding Group,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",Pastoral,Working,Northern Breed
Finnish Spitz,Finland,Group 05 Section 02 #049,Non-Sporting Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed
Flat-Coated Retriever,United Kingdom (England),Group 08 Section 01 #121,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
"Fox Terrier, Smooth",United Kingdom (England),Group 03 Section 01 #012,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
"Fox Terrier, Wire",United Kingdom (England),Group 03 Section 01 #169,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
French Brittany,France,,,,,,,Gun Dog
French Bulldog,"United Kingdom (England), France",Group 09 Section 11 #101,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
French Spaniel,France,Group 07 Section 01 #175,FSS,,Group 01 - Sporting Dogs,,,Gun Dog
Gaddi Kutta,India,,,,,,,
Galgo Español,Spain,Group 10 Section 03 #285,,,,,,Sighthound and Pariah
Galician Shepherd Dog,Spain,,,,,,,
Garafian Shepherd,Spain,,,,,,,
Gascon Saintongeois,France,Group 06 Section 01 #21,,,,,,Scenthound (Grand and Petit)
Georgian Shepherd,Georgia,,,,,,,
German Longhaired Pointer,Germany,Group 07 Section 01 #117,FSS,,Group 01 - Sporting Dogs,Gundog,,Gun Dog
German Pinscher,Germany,Group 02 Section 01 #184,Working Group,Group 06 (Utility),Group 06 - Non-Sporting,Working,Utility,Terrier
German Roughhaired Pointer,Germany,Group 07 Section 01 #232,,,,,,Gun Dog
German Shepherd Dog,Germany,Group 01 Section 01 #166,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
German Shorthaired Pointer,Germany,Group 07 Section 01 #119,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
German Spaniel,Germany,Group 08 Section 02 #104,FSS,,,,,Gun Dog
German Spitz,Germany,Group 05 Section 04 #097,FSS,"Group 07 (Non-Sporting) (Klein, Mittel only)",,"Utility (Klein, Mittel only)","Non Sporting (Klein, Mittel only)",Northern Breed
German Wirehaired Pointer,Germany,Group 07 Section 01 #098,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Giant Schnauzer,Germany,Group 02 Section 01 #181,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Glen of Imaal Terrier,Ireland,Group 03 Section 01 #302,Terrier Group,Group 02 (Terriers),"Group 04 - Terriers, listed",Terrier,Terrier,Terrier
Golden Retriever,United Kingdom (Scotland),Group 08 Section 01 #111,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Gordon Setter,United Kingdom (Scotland),Group 07 Section 02 #006,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Gran Mastín de Borínquen,Puerto Rico,,,,,,,
Grand Anglo-Français Blanc et Noir,France,Group 06 Section 01 #323,,,,,,Scenthound
Grand Anglo-Français Blanc et Orange,France,Group 06 Section 01 #324,,,,,,Scenthound
Grand Anglo-Français Tricolore,France,Group 06 Section 01 #322,,,,,,Scenthound
Grand Basset Griffon Vendéen,France,Group 06 Section 01 #033,Hound Group,Group 04 (Hounds),,Hound,Hound,Scenthound
Grand Bleu de Gascogne,France,Group 06 Section 01 #022,,,,Hound,,Scenthound
Grand Griffon Vendéen,France,Group 06 Section 01 #282,,,,,,Scenthound
Great Dane,Germany,Group 02 Section 02 #235,Working Group,Group 07 (Non-Sporting),Group 03 - Working Dogs,Working,Non Sporting,Guardian Dog
Great Pyrenees,"France, Spain",Group 02 Section 02 #137,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Guardian Dog
Greater Swiss Mountain Dog,Switzerland,Group 02 Section 03 #058,Working Group,,Group 03 - Working Dogs,Working,Utility,Guardian Dog
Greek Harehound,Greece,Group 06 Section 01 #214,,,,,,Scenthound
Greek Shepherd,Greece,,,,,,,Guardian Dog
Greenland Dog,Greenland,Group 05 Section 01 #274,,,Group 03 - Working Dogs,Working,,Northern Breed
Greyhound,"United Kingdom (England), Middle East",Group 10 Section 03 #158,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Griffon Bleu de Gascogne,France,Group 06 Section 01 #032,,,,,,Scenthound
Griffon Fauve de Bretagne,France,Group 06 Section 01 #066,,,,Hound,,Scenthound
Griffon Nivernais,France,Group 06 Section 01 #017,,,,,,Scenthound
Guatemalan Dogo,Guatemala,,,,,,,
Gull Terrier,"India, Pakistan",,,,,,,
Hamiltonstövare,Sweden,Group 06 Section 01 #132,FSS,Group 04 (Hounds),,Hound,Hound,Scenthound
Hanover Hound,Germany,Group 06 Section 02 #213,FSS,,,,,Scenthound
Hare Indian Dog,"Canada, United States",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Harrier,United Kingdom (England),Group 06 Section 01 #295,Hound Group,Group 04 (Hounds),Group 02 - Hounds,,Hound,Scenthound
Havanese,Cuba,Group 09 Section 01 #250,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Hawaiian Poi Dog,United States,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Himalayan Sheepdog,Nepal,,,,,,,
Hokkaido,Japan,Group 05 Section 05 #261,FSS,,,,,Northern Breed
Hortaya borzaya,"Ukraine, Belarus, Southern Russia",,,,,,,
Hovawart,Germany,Group 02 Section 02 #190,FSS,,Group 03 - Working Dogs,Working,,Guardian Dog
Huntaway,New Zealand,,,,,,Working,
Hygen Hound,Norway,Group 06 Section 01 #266,,,,,,Scenthound
Ibizan Hound,Spain,Group 05 Section 07 #089,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Icelandic Sheepdog,Iceland,Group 05 Section 03 #289,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,,Working,Herding Dog
Indian pariah dog,India,,,,,,,
Indian Spitz,India,,,,,,,
Irish Red and White Setter,Ireland,Group 07 Section 02 #330,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Irish Setter,Ireland,Group 07 Section 02 #120,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Irish Terrier,Ireland,Group 03 Section 01 #139,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Irish Water Spaniel,Ireland,Group 08 Section 03 #124,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Irish Wolfhound,Ireland,Group 10 Section 02 #160,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Istrian Coarse-haired Hound,Croatia,Group 06 Section 01 #152,,,,,,Scenthound
